Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Art Still,40.43,0,0,4,12,1978,1989,74,167,164,1,10,0,10,,80,,,,,
Jacob Green,40.25,0,0,2,12,1980,1992,80,180,176,3,90,2,73,,115.5,,,,,
Robert Quinn,39.1,0,1,3,9,2011,2022,69,169,142,0,0,0,0,20,102,369,286,83,109,178
Fred Dryer,38.85,0,0,1,11,1969,1981,80,176,165,1,20,1,20,,103,,,,,
Coy Bacon,38.68,0,0,3,11,1968,1981,71,180,164,2,80,1,80,,130.5,,,,,
Jevon Kearse,38.68,0,1,3,8,1999,2009,68,133,122,1,0,0,0,37,74,336,263,73,80,21
Hugh Douglas,38.5,0,1,3,7,1995,2004,68,138,108,1,9,0,9,9,80,358,292,66,64,
Verlon Biggs,38.43,1,0,3,10,1965,1974,71,135,130,1,44,0,44,,90.5,,,,,
Carlos Dunlap,38.38,1,0,2,7,2010,2022,67,197,125,2,30,2,16,77,100,578,384,194,123,267
Vern Den Herder,37.95,2,0,0,10,1971,1982,68,166,144,1,24,0,24,,65,,,,,
Lionel Aldridge,37.75,3,0,0,11,1963,1973,64,147,137,0,0,0,0,,69.5,,,,,
Sean Jones,37.43,1,0,1,9,1984,1996,68,201,143,1,0,0,0,,113,601,563,38,,
DeMarcus Lawrence,37.15,0,0,4,6,2014,2023,67,137,119,2,53,1,40,20,58.5,436,278,158,93,121
Greg Townsend,36.68,1,0,2,7,1983,1997,63,190,102,3,117,1,86,,109.5,363,359,4,,
Patrick Kerney,36.65,0,1,2,9,1999,2009,67,159,143,3,8,0,8,25,82.5,486,372,114,95,49
Lou Michaels,36.6,0,0,2,7,1958,1971,72,171,102,4,36,1,30,,47,,,,,
Everson Griffen,36.45,0,0,4,6,2010,2021,66,170,96,2,46,1,29,20,85.5,403,286,117,97,200
Gerry Philbin,36.25,1,2,2,9,1964,1973,62,123,112,1,18,0,18,,66.5,,,,,
Larry Eisenhauer,36.15,0,3,4,9,1961,1969,65,115,107,1,0,0,0,,43.5,,,,,
Tony Tolbert,36,3,0,1,7,1989,1997,57,144,121,1,54,1,54,,59,580,531,49,,
Carl Hairston,35.6,0,0,0,13,1976,1990,76,224,184,1,40,0,40,,96,,,,,
Shaun Ellis,35.33,0,0,2,11,2000,2011,70,184,166,1,1,0,1,18,73.5,588,411,177,83,45
Larry Cole,35.1,2,0,0,11,1968,1980,62,176,134,4,102,3,43,,59,,,,,
Robert Porcher,35.1,0,0,3,10,1992,2003,66,187,158,1,5,0,5,19,95.5,602,435,167,56,
Ryan Kerrigan,35.08,0,0,4,9,2011,2021,63,172,143,3,61,3,28,25,95.5,457,333,124,120,149
Marco Coleman,34.95,0,0,1,12,1992,2005,72,207,185,1,2,0,2,8,65.5,614,524,90,49,
Michael Bennett,34.88,1,0,3,7,2009,2019,57,156,101,0,0,0,0,6,69.5,359,259,100,132,193
Mike Hartenstine,34.88,1,0,0,9,1975,1987,66,184,140,0,12,1,12,,55,,,,,
Rulon Jones,34.73,0,1,2,7,1980,1988,63,129,98,0,0,0,0,,73.5,,,,,
Trent Cole,34.53,0,0,2,9,2005,2016,68,176,154,1,19,1,19,20,90.5,617,467,150,133,160
Danielle Hunter,34.48,0,0,4,4,2015,2023,62,119,90,0,0,0,0,8,87.5,462,316,146,108,134
Brett Keisel,34.45,2,0,1,8,2002,2014,58,156,114,2,95,1,79,36,30,408,253,155,33,53
Jay Ratliff,33.73,0,1,4,7,2005,2015,55,122,102,0,0,0,0,15,35,285,195,90,58,77
Joe Robb,33.63,1,0,1,10,1959,1971,60,159,134,1,3,0,3,,39,,,,,
Anthony Pleasant,33.5,2,0,0,11,1990,2003,59,202,157,2,0,0,0,10,58,534,455,79,21,
Cedrick Hardman,33.35,1,0,2,9,1970,1981,57,171,121,0,0,0,0,,122.5,,,,,
Frank Clark,33.18,2,0,3,6,2015,2023,49,128,88,2,31,0,26,13,58.5,271,184,87,67,131
Mel Branch,33.13,1,1,3,8,1960,1968,63,126,103,0,0,0,0,,57,,,,,
Wayne Martin,33.08,0,0,1,10,1989,1999,68,171,155,1,12,0,12,3,82.5,597,532,65,11,
Greg Ellis,32.8,0,0,1,12,1998,2009,68,176,169,4,97,1,87,42,84,531,400,131,82,45
Tommy Hart,32.8,0,0,1,10,1968,1980,68,177,140,2,0,0,0,,83,,,,,
Jim Jeffcoat,32.73,2,0,0,8,1983,1997,57,227,128,2,91,2,65,,102.5,724,709,15,,
Jack Gregory,32.6,0,0,2,11,1967,1979,64,182,158,1,12,0,12,,106,,,,,
Brandon Graham,32.38,1,0,1,6,2010,2023,58,195,105,0,0,0,0,9,73,467,344,123,120,146
Ben Davidson,32.33,1,1,3,8,1961,1971,60,152,110,0,0,0,0,,64.5,,,,,
Paul Wiggin,32.3,1,0,2,10,1957,1967,55,146,127,3,22,1,20,,60.5,,,,,
Leonard Little,32.08,1,1,1,7,1998,2009,52,147,98,2,64,1,36,16,87.5,390,334,56,89,55
Alfred Williams,32.03,2,1,1,5,1991,1999,48,128,92,0,0,0,0,1,59.5,316,276,40,6,
Barney Chavous,31.75,0,0,0,13,1973,1985,69,183,178,0,0,0,0,,75,,,,,
Michael McCrary,31.75,1,0,2,6,1993,2002,54,136,88,1,1,0,1,7,71,403,318,85,42,
Phillip Daniels,31.7,0,0,0,11,1996,2010,68,201,167,1,0,0,0,47,62,516,393,123,72,12
Antonio Smith,31.55,1,0,1,8,2004,2016,56,186,133,0,0,0,0,10,47.5,324,247,77,76,141
Jadeveon Clowney,31.48,0,0,3,8,2014,2023,59,126,113,1,27,1,27,28,52.5,363,248,115,99,128
Aaron Schobel,31.45,0,0,2,8,2001,2009,62,133,128,3,32,1,26,31,78,483,334,149,98,60
Matt Judon,31.38,0,0,4,6,2016,2023,56,114,82,0,0,0,0,14,66.5,369,251,118,87,165
Jeff Bryant,31.33,0,0,0,12,1982,1993,68,175,167,1,1,0,1,,63,,,,,
Jerry Hughes,31.33,0,0,0,9,2010,2023,68,218,152,2,11,0,14,21,70,479,320,159,96,142
Kyle Vanden Bosch,30.93,0,0,3,9,2001,2012,58,152,137,0,0,0,0,9,58,466,336,130,84,120
George Martin,30.83,1,0,0,7,1975,1988,58,201,113,3,164,3,78,,96,,,,,
Michael Sinclair,30.68,0,0,3,7,1992,2002,57,148,114,0,0,0,0,2,73.5,351,273,78,16,
Darris McCord,30.58,1,0,1,13,1955,1967,54,168,165,3,31,0,15,,38.5,,,,,
Melvin Ingram,30.25,0,0,3,6,2012,2023,57,148,106,3,17,0,9,30,58.5,414,298,116,82,131
Phil Hansen,30.03,0,0,0,11,1991,2001,65,156,148,1,17,0,17,5,61.5,634,496,138,17,
Kimo von Oelhoffen,29.75,1,0,0,9,1994,2007,56,197,147,0,0,0,0,11,26.5,356,257,99,41,1
Will Smith,29.68,1,0,1,7,2004,2012,52,139,120,2,4,0,4,26,67.5,463,329,134,85,112
Trace Armstrong,29.58,0,0,1,9,1989,2003,61,211,129,1,0,0,0,3,106,622,543,79,35,
Rob Ninkovich,29.35,2,0,0,7,2006,2016,51,131,101,5,42,1,18,22,46,460,273,187,55,88
Larry Hand,29.3,0,0,0,10,1965,1977,64,164,132,5,110,3,62,,62.5,,,,,
Julius Adams,29.15,0,0,1,12,1971,1987,60,206,158,0,0,0,0,,80.5,,,,,
Jim Wilks,29.08,0,0,0,11,1981,1993,63,183,154,0,0,0,0,,49,,,,,
Grant Wistrom,29,1,0,0,8,1998,2006,54,132,118,5,129,2,91,32,53,413,335,78,74,4
Cliff Avril,28.88,1,0,1,7,2008,2017,51,140,114,1,4,1,4,29,74,298,207,91,67,146
Vonnie Holliday,28.88,0,0,0,9,1998,2012,63,214,147,2,6,0,3,37,62.5,599,415,184,93,47
Joey Bosa,28.78,0,0,4,6,2016,2023,51,93,84,0,0,0,0,3,67,321,235,86,82,143
Adewale Ogunleye,28.7,0,0,1,8,2001,2010,59,130,119,1,0,0,0,25,67,393,299,94,95,58
Dwaine Board,28.6,3,0,0,6,1979,1988,45,121,92,0,0,0,0,,61,,,,,
Andre Carter,28.55,0,0,1,10,2001,2013,59,184,147,0,0,0,0,28,80.5,517,388,129,115,121
Pierce Holt,28.2,2,0,1,7,1988,1995,45,109,91,0,0,0,0,,37,350,336,14,,
John Zook,28.18,0,0,1,10,1969,1979,58,144,133,4,60,0,24,,78,,,,,
Aaron Kampman,28.15,0,0,2,7,2002,2011,55,123,112,0,0,0,0,11,58,485,338,147,66,117
Roy Hilton,28.05,1,0,0,6,1965,1975,52,151,83,1,13,1,13,,40.5,,,,,
Calvin Pace,27.98,0,0,0,10,2003,2015,61,187,153,3,23,0,14,31,60,621,470,151,87,79
Za'Darius Smith,27.8,0,0,3,3,2015,2023,52,123,80,0,0,0,0,15,60,298,198,100,76,156
Chris Long,27.78,2,0,0,6,2008,2018,48,162,103,0,0,0,0,10,70,332,252,80,85,150
Ed O'Bradovich,27.58,1,0,0,7,1962,1971,51,124,99,0,0,0,0,,51.5,,,,,
Lee Williams,27.58,0,0,2,6,1984,1993,54,140,107,2,83,1,66,,82.5,,,,,
Ben Williams,27.33,0,0,1,9,1976,1985,57,147,140,2,20,0,20,,52,,,,,
Alex Brown,27.18,0,0,0,8,2002,2010,59,143,123,5,27,0,18,42,45.5,421,346,75,85,66
Eddie Edwards,26.93,0,0,0,11,1977,1988,59,170,158,1,2,0,2,,84.5,,,,,
Sherman White,26.85,0,0,0,12,1972,1983,59,158,149,2,5,0,5,,63,,,,,
Greg Spires,26.65,1,0,0,6,1998,2007,49,147,94,0,0,0,0,15,39.5,345,253,92,44,13
Don Floyd,26.6,2,1,2,6,1960,1967,49,97,83,4,58,1,28,,20.5,,,,,
Akiem Hicks,26.55,0,0,1,7,2012,2022,55,149,121,0,0,0,0,12,41.5,409,263,146,75,115
Ty Warren,26.35,2,0,0,6,2003,2012,45,106,93,0,0,0,0,7,20.5,375,253,122,37,41
John Matuszak,26.25,2,0,0,7,1973,1981,45,123,106,0,0,0,0,,48.5,,,,,
Mike Rucker,26.23,0,0,1,7,1999,2007,54,139,106,1,0,0,0,28,55.5,422,338,84,85,18
Bob Dee,25.8,0,0,4,8,1957,1967,64,134,115,1,14,0,14,,17.5,,,,,
Shaun Phillips,25.75,0,0,1,8,2004,2014,54,168,121,7,70,2,31,48,81.5,537,406,131,93,100
Bobby Hamilton,25.68,2,0,0,7,1996,2007,43,165,104,1,0,0,0,23,19,479,306,173,35,0
Joe Johnson,25.65,0,0,2,7,1994,2003,50,117,115,0,0,0,0,1,52.5,400,318,82,29,
Maxx Crosby,25.55,0,0,3,4,2019,2023,47,83,77,0,0,0,0,18,52,321,205,116,88,124
Chris Canty,25.18,1,0,0,9,2005,2015,46,148,128,0,0,0,0,19,22.5,356,234,122,47,49
Charles Grant,24.98,1,0,0,7,2002,2009,46,118,106,1,8,0,8,31,47,430,335,95,66,48
Jarret Johnson,24.88,0,0,0,9,2003,2014,55,184,132,3,14,1,8,25,25.5,526,368,158,66,55
