Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Lance Briggs,59.45,0,1,7,12,2003,2014,98,173,170,16,256,5,74,84,15,1181,944,237,97,24
Greg Lloyd,56.73,0,3,5,9,1988,1998,88,147,139,11,189,0,52,,54.5,791,707,84,,
Andy Russell,56.6,2,0,7,12,1963,1976,84,168,162,18,238,1,45,,38,,,,,
Mike Stratton,53.55,2,3,6,11,1962,1973,78,156,134,21,250,1,26,,31.5,,,,,
Ken Norton Jr.,53.53,3,1,3,12,1988,2000,81,191,188,5,127,2,46,9,12.5,1272,1128,144,16,
Clay Matthews,53.5,0,0,4,16,1978,1996,94,278,248,16,206,1,36,,82.5,1595,1561,34,,
Bill Romanowski,52.73,4,0,2,13,1988,2003,83,243,222,18,98,1,18,20,39.5,1118,966,152,30,
Carl Banks,52.48,2,1,1,10,1984,1995,68,173,151,3,21,1,15,,39.5,860,826,34,,
Clay Matthews,52.18,1,1,6,10,2009,2019,77,156,150,6,191,2,62,44,91.5,519,383,136,130,200
Bryce Paup,52.15,0,1,4,7,1990,2000,67,148,113,6,55,1,30,3,75,545,444,101,7,
Demario Davis,51.75,0,1,2,10,2012,2023,98,194,180,3,5,0,4,51,42.5,1257,818,439,105,100
Wayne Walker,50.93,0,1,3,13,1958,1972,93,200,173,14,163,1,47,,38.5,,,,,
Dave Wilcox,49.88,0,2,7,11,1964,1974,74,153,144,14,149,1,35,,36.5,,,,,
Mo Lewis,49.53,0,1,3,13,1991,2003,90,200,199,14,241,4,67,21,52.5,1232,1011,221,37,
Chad Brown,49.48,0,2,3,12,1993,2007,85,188,161,6,39,0,16,20,79,1091,839,252,58,2
Lavonte David,49.18,1,1,1,11,2012,2023,86,181,181,12,169,2,32,64,33.5,1480,1035,445,160,67
Seth Joyner,48.68,1,0,3,11,1986,1998,84,195,172,24,307,2,43,,52,1123,1056,67,,
Jessie Armstead,48.08,0,1,5,8,1993,2003,81,176,129,12,175,2,58,17,40,971,751,220,66,
Rod Martin,47.43,2,1,2,10,1977,1988,76,165,147,14,225,4,40,,56.5,,,,,
Willie McGinest,47.03,3,0,2,13,1994,2008,76,212,184,5,90,2,46,37,86,804,581,223,96,23
Matt Blair,46.08,0,1,6,9,1974,1985,74,160,130,16,119,0,20,,23,,,,,
Tom Jackson,46.03,0,1,3,12,1973,1986,83,191,177,20,340,3,73,,40,,,,,
Justin Houston,45.83,0,1,4,10,2011,2023,74,170,151,5,57,1,32,35,112,515,409,106,132,185
Derrick Johnson,45.8,0,1,4,11,2005,2018,80,188,170,14,355,4,70,77,27.5,1171,955,216,103,40
E.J. Holub,45.13,2,2,5,8,1961,1970,71,127,114,9,76,0,24,,17,,,,,
Cameron Wake,44.7,0,1,5,8,2009,2019,74,155,126,1,12,0,12,16,100.5,364,282,82,99,224
Thomas Davis,44.58,0,1,3,12,2005,2020,80,199,174,13,79,0,31,55,29,1216,859,357,90,61
Takeo Spikes,44.48,0,1,2,14,1998,2012,83,219,215,19,276,3,66,70,29,1431,1018,413,79,18
Fred Warner,44.38,0,3,3,5,2018,2023,70,98,98,8,135,1,46,46,9,766,493,273,31,28
Larry Morris,43.48,1,0,0,7,1955,1966,48,124,100,6,53,0,25,,21.5,,,,,
